"rating_id","country_id","coder_id","question_id","code","confidence","historical_date","text_answer","timestamp","data_type","date_added","party_id","name","version","time_archived"
51651657,15,5994,328,NA,0,"","Las libertades civiles en Colombia están bajo amenaza si consideramos la cantidad de líderes civiles que están siendo asesinados, sin que existan señales por parte del Estado de una política firme frente a estos crímenes.","2023-01-21 17:18:40","","2023-01-21 17:18:40",NA,"v2clcommnt",13,""
51650651,15,5994,328,NA,0,"",NA,"2023-01-21 16:50:42","","2023-01-21 16:50:42",NA,"v2clcommnt",13,"2023-01-21 17:18:40"
47126850,15,473,328,NA,0,"",NA,"2022-01-05 22:50:46","","2022-01-05 22:50:46",NA,"v2clcommnt",12,""
48371315,15,5686,328,NA,0,"","Sin comentarios","2022-01-19 01:55:54","","2022-01-19 01:55:54",NA,"v2clcommnt",12,""
48043344,15,5994,328,NA,0,"",NA,"2022-01-17 03:12:26","","2022-01-17 03:12:26",NA,"v2clcommnt",12,""
48601175,15,6067,328,NA,0,"","The year 2021 marked a serious worsening of the civil liberties situation in Colombia. It was so severe that it makes me wonder retroactively if the relatively benign scores of previous years were simply a result of the government not being put seriously to test by events. In 2021 a series of social protests erupted in several parts of the country, the largest wave in decades, and the government responded with a heavy hand the would not be out of character in some authoritarian regimes. Security forces committed serious human rights violations up to an including torture, killings and forced disappearances, the government went out of its way to silence critics (expelling a foreigner on some technicality because of her adverse reporting) all the while denying even the basic legitimacy of the protest. Prominent cabinet members, and the president himself, went publicly on record blaming the opposition for the most nefarious and far-fetched conspiracies. All in all, the government's behaviour during the protests amounts to one of the most serious instances of democratic backsliding the country has seen in decades.","2022-01-20 12:04:28","","2022-01-20 12:04:28",NA,"v2clcommnt",12,""
43419065,15,5686,328,NA,0,"","Sin comentarios","2021-01-15 17:21:18","","2021-01-15 17:21:18",NA,"v2clcommnt",11,""
45134812,15,5994,328,NA,0,"",NA,"2021-01-25 20:50:30","","2021-01-25 20:50:30",NA,"v2clcommnt",11,""
733613,15,409,328,NA,NA,"","","2020-01-02 20:48:54","","",NA,"v2clcommnt",10,""
33087404,15,473,328,NA,0,"","","2020-01-02 20:48:54","","2019-01-29 04:47:26",NA,"v2clcommnt",10,""
1139846,15,474,328,NA,NA,"","","2020-01-02 20:48:54","","",NA,"v2clcommnt",10,""
29904749,15,898,328,NA,0,"","","2020-01-02 20:48:54","","2019-01-09 19:39:20",NA,"v2clcommnt",10,""
23964651,15,938,328,NA,0,"","","2020-01-02 20:48:54","","",NA,"v2clcommnt",10,""
2931409,15,950,328,NA,NA,"","","2020-01-02 20:48:54","","",NA,"v2clcommnt",10,""
20131801,15,1339,328,NA,NA,"","","2020-01-02 20:48:54","","",NA,"v2clcommnt",10,""
28557722,15,4944,328,NA,0,"","","2020-01-02 20:48:54","","2018-01-30 09:50:50",NA,"v2clcommnt",10,""
39294025,15,5686,328,NA,0,"","El conflicto armado y la violencia política ha afectado las libertades civiles en algunas regiones.","2020-01-24 23:52:42","","2020-01-24 23:52:42",NA,"v2clcommnt",10,""
37874628,15,6067,328,NA,0,"","El caso de Colombia es muy difícil de evaluar porque muchas de las peores violaciones a los derechos civiles de los ciudadanos son perpetradas por actores privados que tienen nexos oscuros con en el Estado. Así, aunque la política oficial es de respeto a los derechos civiles, grupos irregulares actuando con la complicidad de las autoridades han cometido muchas y graves violaciones a los derechos humanos (asesinatos, desapariciones, torturas, amenazas, destierro, etc). A esto hay que sumarle, por supuesto, las violaciones cometidas por grupos insurgentes opuestos al Estado y, para hacer aún más complejo el cuadro, las distintas organizaciones criminales que ejercen control de facto sobre muchas zonas del país.","2020-01-20 16:40:35","","2020-01-20 16:40:35",NA,"v2clcommnt",10,""
